Товар,Категория,Остаток,Цена,Тип дня,Спрос
Зефир ванильный,Кондитерские изделия,47,105.12,выходной,38
Говядина вырезка,Мясо,29,657.45,будни,8
Макароны спагетти,Макаронные изделия,8,310.32,будни,10
Конфеты шоколадные,Кондитерские изделия,8,168.23,будни,5
Лук репчатый,Овощи,25,99.92,будни,20
Сметана 15%,Молочные продукты,14,291.0,выходной,6
Сыр Российский,Молочные продукты,22,29.09,выходной,20
Сок апельсиновый,Напитки,40,442.28,будни,13
Сухарики ржаные,Снеки,8,86.06,будни,7
Энергетик,Напитки,41,432.37,будни,12
Колбаса докторская,Мясные изделия,36,134.75,выходной,28
Масло сливочное,Молочные продукты,11,346.63,выходной,20
Печенье овсяное,Кондитерские изделия,39,405.8,будни,9
Лавровый лист,Специи,13,199.49,выходной,24
Сок апельсиновый,Напитки,24,92.91,будни,3
Лук репчатый,Овощи,11,194.78,будни,17
Перец черный молотый,Специи,41,368.53,будни,6
Пиво светлое,Алкоголь,17,468.56,будни,6
Сметана 15%,Молочные продукты,92,211.17,будни,19
Хлеб бородинский,Хлебобулочные изделия,15,409.8,выходной,14
Огурцы грунтовые,Овощи,98,98.56,выходной,16
Помидоры черри,Овощи,58,148.66,выходной,52
Вода минеральная,Напитки,18,398.23,выходной,10
Конфеты шоколадные,Кондитерские изделия,7,59.55,будни,1
Яблоки Гренни,Фрукты,51,131.89,выходной,36
Масло сливочное,Молочные продукты,36,396.84,будни,17
"Кефир 3,2%",Молочные продукты,33,66.8,выходной,18
Мука пшеничная,Бакалея,16,341.29,будни,9
Чай черный,Напитки,27,405.15,выходной,20
Помидоры черри,Овощи,60,192.86,будни,24
Печенье овсяное,Кондитерские изделия,29,472.92,выходной,34
Кетчуп томатный,Соусы,31,395.94,выходной,26
Чипсы картофельные,Снеки,0,306.96,будни,4
Творог 5%,Молочные продукты,44,439.06,будни,18
Конфеты шоколадные,Кондитерские изделия,6,364.38,будни,18
Шоколад молочный,Кондитерские изделия,6,204.03,будни,9
Свинина отбивная,Мясо,41,574.45,будни,3
Вино красное,Алкоголь,36,864.45,выходной,14
Пиво светлое,Алкоголь,47,1277.32,выходной,18
Хлеб бородинский,Хлебобулочные изделия,34,422.65,выходной,18
Сок апельсиновый,Напитки,30,442.05,выходной,8
Гречка ядрица,Крупы,17,215.73,выходной,36
Огурцы грунтовые,Овощи,88,194.21,выходной,42
Вино красное,Алкоголь,7,1103.74,выходной,12
Лосось стейк,Рыба и морепродукты,40,366.14,праздник,18
Лимонад,Напитки,29,457.53,будни,7
Чай черный,Напитки,14,191.45,будни,10
Чай черный,Напитки,17,231.52,выходной,20
Сок апельсиновый,Напитки,24,86.42,праздник,18
Сыр Российский,Молочные продукты,90,236.61,выходной,12
Вода минеральная,Напитки,28,244.63,будни,19
Рис Басмати,Крупы,34,449.63,выходной,16
Майонез оливковый,Соусы,42,239.85,будни,9
Сыр Российский,Молочные продукты,13,266.18,будни,1
"Кефир 3,2%",Молочные продукты,90,497.95,будни,16
Бананы,Фрукты,73,101.75,будни,6
Конфеты шоколадные,Кондитерские изделия,8,220.97,будни,8
Курица охлажденная,Мясо,42,757.5,выходной,30
Рис Басмати,Крупы,33,100.55,будни,12
Сухарики ржаные,Снеки,32,367.53,выходной,20
Кофе молотый,Напитки,0,77.19,будни,16
Морковь столовая,Овощи,36,106.22,выходной,38
Перец черный молотый,Специи,41,73.09,будни,11
"Кефир 3,2%",Молочные продукты,71,131.71,будни,7
Мармелад фруктовый,Кондитерские изделия,23,38.7,будни,8
Морковь столовая,Овощи,63,101.19,будни,15
Печенье овсяное,Кондитерские изделия,41,441.18,выходной,18
Вода минеральная,Напитки,33,241.15,праздник,21
Морковь столовая,Овощи,16,163.19,будни,19
"Молоко 2,5%",Молочные продукты,77,496.23,выходной,30
Мёд цветочный,Сладости,28,359.06,будни,16
Хлеб бородинский,Хлебобулочные изделия,11,477.94,будни,3
"Кефир 3,2%",Молочные продукты,29,417.21,будни,16
"Молоко 2,5%",Молочные продукты,63,135.76,будни,15
Хлеб бородинский,Хлебобулочные изделия,6,109.82,будни,1
Пиво светлое,Алкоголь,29,770.24,праздник,24
Лавровый лист,Специи,40,277.78,выходной,22
Вода минеральная,Напитки,47,360.27,праздник,9
Шоколад молочный,Кондитерские изделия,13,343.53,выходной,18
Рис Басмати,Крупы,2,324.76,будни,6
Джем клубничный,Сладости,33,456.53,будни,16
Апельсины,Фрукты,79,61.68,праздник,33
Соль йодированная,Бакалея,20,432.63,будни,18
Конфеты шоколадные,Кондитерские изделия,25,265.65,выходной,34
Говядина вырезка,Мясо,42,307.19,выходной,34
Масло сливочное,Молочные продукты,53,310.84,будни,3
Чай черный,Напитки,45,477.21,выходной,38
Картофель молодой,Овощи,80,138.83,выходной,56
Лук репчатый,Овощи,21,169.47,выходной,54
Бананы,Фрукты,10,73.37,будни,15
"Кефир 3,2%",Молочные продукты,92,201.13,будни,10
Гречка ядрица,Крупы,22,151.51,праздник,24
Джем клубничный,Сладости,26,189.12,будни,17
Чипсы картофельные,Снеки,26,474.93,будни,4
Кофе молотый,Напитки,15,491.0,будни,8
Помидоры черри,Овощи,38,101.39,выходной,12
Гречка ядрица,Крупы,28,90.09,выходной,16
Гречка ядрица,Крупы,6,445.99,выходной,14
Морковь столовая,Овощи,52,60.36,будни,13
Помидоры черри,Овощи,61,145.35,будни,22
Масло сливочное,Молочные продукты,99,306.3,выходной,34
Лук репчатый,Овощи,83,195.16,выходной,10
Колбаса докторская,Мясные изделия,15,354.12,будни,12
Соль йодированная,Бакалея,27,117.96,будни,4
Сыр Российский,Молочные продукты,45,268.3,будни,17
Мука пшеничная,Бакалея,22,217.94,будни,7
Сахар песок,Бакалея,32,429.75,выходной,6
Кетчуп томатный,Соусы,42,61.79,будни,1
Макароны спагетти,Макаронные изделия,39,119.39,будни,19
Макароны спагетти,Макаронные изделия,36,427.48,будни,2
Макароны спагетти,Макаронные изделия,8,184.56,будни,6
Кетчуп томатный,Соусы,29,118.78,выходной,22
Апельсины,Фрукты,27,182.67,будни,4
Чипсы картофельные,Снеки,16,113.82,будни,1
Энергетик,Напитки,44,177.36,будни,11
Майонез оливковый,Соусы,28,182.64,праздник,48
Бананы,Фрукты,56,182.13,будни,6
Огурцы грунтовые,Овощи,36,119.76,будни,15
Яблоки Гренни,Фрукты,99,187.88,будни,8
Сахар песок,Бакалея,45,481.54,будни,1
Йогурт греческий,Молочные продукты,75,460.27,будни,14
Джем клубничный,Сладости,32,226.81,будни,2
Йогурт греческий,Молочные продукты,58,427.27,будни,6
Вино красное,Алкоголь,6,640.99,будни,9
Макароны спагетти,Макаронные изделия,0,44.61,будни,14
Картофель молодой,Овощи,25,117.55,выходной,52
Перец черный молотый,Специи,5,324.68,будни,8
Зефир ванильный,Кондитерские изделия,13,281.93,будни,3
Масло сливочное,Молочные продукты,42,379.33,будни,10
Йогурт греческий,Молочные продукты,61,275.05,будни,18
Сыр Российский,Молочные продукты,23,406.69,будни,9
Сахар песок,Бакалея,43,277.1,выходной,18
Чай черный,Напитки,43,79.26,будни,19
Вино красное,Алкоголь,39,251.04,праздник,3
Огурцы грунтовые,Овощи,86,149.5,выходной,42
Сыр Российский,Молочные продукты,93,431.34,выходной,8
Колбаса докторская,Мясные изделия,39,389.48,праздник,12
Картофель молодой,Овощи,92,101.25,выходной,40
"Кефир 3,2%",Молочные продукты,86,450.75,будни,16
Колбаса докторская,Мясные изделия,29,176.4,будни,15
Лимонад,Напитки,47,300.28,будни,6
Мёд цветочный,Сладости,36,392.86,выходной,10
Свинина отбивная,Мясо,14,515.17,будни,10
Гречка ядрица,Крупы,36,77.17,будни,7
"Кефир 3,2%",Молочные продукты,26,268.68,выходной,14
Свинина отбивная,Мясо,37,728.97,выходной,20
Пиво светлое,Алкоголь,13,544.61,выходной,18
Шоколад молочный,Кондитерские изделия,43,64.5,будни,15
Говядина вырезка,Мясо,16,360.65,будни,6
"Молоко 2,5%",Молочные продукты,21,47.51,будни,2
Чай черный,Напитки,41,361.65,выходной,16
Морковь столовая,Овощи,78,68.62,будни,29
Говядина вырезка,Мясо,33,391.89,будни,15
Свинина отбивная,Мясо,11,544.89,будни,18
Свинина отбивная,Мясо,35,398.78,выходной,10
Яйца куриные (10 шт),Яйца,35,60.78,будни,4
Помидоры черри,Овощи,63,162.49,выходной,28
Джем клубничный,Сладости,49,53.47,выходной,38
Гречка ядрица,Крупы,6,158.18,выходной,28
Шоколад молочный,Кондитерские изделия,43,171.68,выходной,26
"Кефир 3,2%",Молочные продукты,26,319.29,будни,10
Говядина вырезка,Мясо,7,468.63,будни,6
Печенье овсяное,Кондитерские изделия,23,248.19,выходной,26
Перец черный молотый,Специи,31,425.92,будни,11
Говядина вырезка,Мясо,45,713.99,будни,15
Мармелад фруктовый,Кондитерские изделия,25,243.8,выходной,4
Конфеты шоколадные,Кондитерские изделия,22,76.63,будни,15
Конфеты шоколадные,Кондитерские изделия,32,425.12,будни,19
Кофе молотый,Напитки,36,39.16,будни,17
Морковь столовая,Овощи,97,142.58,выходной,48
Говядина вырезка,Мясо,22,683.3,праздник,54
Сахар песок,Бакалея,35,267.98,будни,6
Мука пшеничная,Бакалея,3,427.13,выходной,30
Вода минеральная,Напитки,18,116.7,будни,17
Картофель молодой,Овощи,74,64.35,будни,28
Яйца куриные (10 шт),Яйца,17,458.14,выходной,18
Вода минеральная,Напитки,12,172.35,будни,12
Конфеты шоколадные,Кондитерские изделия,11,454.99,выходной,10
Морковь столовая,Овощи,86,179.1,выходной,36
Энергетик,Напитки,6,467.63,будни,8
Картофель молодой,Овощи,32,137.26,выходной,58
Лимонад,Напитки,14,442.32,выходной,34
Говядина вырезка,Мясо,12,435.78,будни,9
Огурцы грунтовые,Овощи,16,164.06,выходной,14
Огурцы грунтовые,Овощи,94,105.95,будни,29
Джем клубничный,Сладости,25,473.22,праздник,21
Апельсины,Фрукты,49,80.9,праздник,36
Вода минеральная,Напитки,3,422.53,выходной,6
Мармелад фруктовый,Кондитерские изделия,24,24.21,будни,9
Кетчуп томатный,Соусы,32,61.62,будни,14
Перец черный молотый,Специи,34,84.17,выходной,36
Лосось стейк,Рыба и морепродукты,38,770.67,выходной,22
Помидоры черри,Овощи,84,190.73,будни,8
Кофе молотый,Напитки,6,356.39,выходной,16
Говядина вырезка,Мясо,42,699.0,выходной,36
Сметана 15%,Молочные продукты,92,136.28,будни,13
Творог 5%,Молочные продукты,27,42.56,будни,4
Гречка ядрица,Крупы,11,134.73,выходной,20
Курица охлажденная,Мясо,17,670.43,будни,8
Чай черный,Напитки,40,304.67,будни,12
Чипсы картофельные,Снеки,49,376.34,будни,19
Колбаса докторская,Мясные изделия,4,158.84,будни,12
Лимонад,Напитки,25,76.75,праздник,6
Макароны спагетти,Макаронные изделия,34,297.06,выходной,16
Сахар песок,Бакалея,48,182.69,выходной,26
Творог 5%,Молочные продукты,58,155.51,будни,1
Гречка ядрица,Крупы,1,468.31,будни,3
Сок апельсиновый,Напитки,46,196.76,праздник,6
Мёд цветочный,Сладости,33,431.28,будни,8
Сахар песок,Бакалея,15,277.35,выходной,6
Соль йодированная,Бакалея,3,470.66,будни,15
Вода минеральная,Напитки,35,383.33,выходной,4
Майонез оливковый,Соусы,11,283.86,будни,17
Сок апельсиновый,Напитки,43,117.92,выходной,12
Бананы,Фрукты,88,173.41,будни,1
Апельсины,Фрукты,88,125.41,выходной,8
Яблоки Гренни,Фрукты,39,142.26,будни,19
Вино красное,Алкоголь,35,1130.0,праздник,21
Джем клубничный,Сладости,6,24.58,будни,14
Чай черный,Напитки,1,184.65,праздник,42
Мармелад фруктовый,Кондитерские изделия,40,106.0,выходной,20
Говядина вырезка,Мясо,9,654.84,праздник,21
Апельсины,Фрукты,17,68.7,праздник,48
Помидоры черри,Овощи,94,164.88,будни,8
Лук репчатый,Овощи,78,52.92,будни,11
Конфеты шоколадные,Кондитерские изделия,37,239.39,будни,15
Кофе молотый,Напитки,12,385.71,выходной,34
Лавровый лист,Специи,42,277.06,будни,3
Говядина вырезка,Мясо,30,743.71,выходной,32
Соль йодированная,Бакалея,20,473.78,будни,2
Сухарики ржаные,Снеки,22,44.24,будни,7
Мука пшеничная,Бакалея,27,146.11,будни,16
Хлеб бородинский,Хлебобулочные изделия,5,477.03,выходной,18
Кофе молотый,Напитки,0,302.06,выходной,24
Пиво светлое,Алкоголь,40,781.82,выходной,16
Чипсы картофельные,Снеки,37,50.67,будни,1
Джем клубничный,Сладости,44,437.45,будни,14
Кетчуп томатный,Соусы,22,208.6,будни,11
Майонез оливковый,Соусы,22,401.21,выходной,36
Яблоки Гренни,Фрукты,92,151.96,будни,5
Мармелад фруктовый,Кондитерские изделия,41,472.34,выходной,30
Соль йодированная,Бакалея,46,276.39,выходной,14
Яблоки Гренни,Фрукты,26,81.97,выходной,28
Масло сливочное,Молочные продукты,90,443.66,будни,8
Творог 5%,Молочные продукты,34,429.59,будни,4
Макароны спагетти,Макаронные изделия,28,129.09,будни,3
Помидоры черри,Овощи,78,127.28,праздник,48
Колбаса докторская,Мясные изделия,17,198.07,выходной,36
Пиво светлое,Алкоголь,22,699.87,будни,8
Курица охлажденная,Мясо,14,316.19,будни,15
Пиво светлое,Алкоголь,21,1235.64,будни,8
Бананы,Фрукты,74,78.13,выходной,22
Говядина вырезка,Мясо,46,371.77,будни,12
Печенье овсяное,Кондитерские изделия,21,233.85,праздник,57
Соль йодированная,Бакалея,27,434.45,будни,17
Лавровый лист,Специи,17,436.63,будни,6
Чай черный,Напитки,6,206.61,будни,8
Курица охлажденная,Мясо,8,422.0,праздник,45
Пиво светлое,Алкоголь,17,521.92,будни,6
Творог 5%,Молочные продукты,48,483.98,будни,10
Колбаса докторская,Мясные изделия,1,272.53,выходной,30
Гречка ядрица,Крупы,47,373.51,будни,12
Творог 5%,Молочные продукты,88,205.42,будни,11
Сок апельсиновый,Напитки,11,475.29,выходной,36
Мармелад фруктовый,Кондитерские изделия,37,386.65,будни,5
Сыр Российский,Молочные продукты,83,270.8,выходной,24
Лук репчатый,Овощи,77,110.77,будни,28
Печенье овсяное,Кондитерские изделия,33,50.77,будни,5
Чай черный,Напитки,43,349.85,выходной,20
Энергетик,Напитки,49,168.64,выходной,28
Рис Басмати,Крупы,9,77.13,будни,16
Лавровый лист,Специи,47,125.64,будни,5
Сыр Российский,Молочные продукты,13,62.99,выходной,22
"Кефир 3,2%",Молочные продукты,92,217.35,выходной,38
Соль йодированная,Бакалея,12,196.01,будни,8
Творог 5%,Молочные продукты,33,478.24,выходной,38
Энергетик,Напитки,39,363.97,будни,18
Джем клубничный,Сладости,24,393.31,выходной,24
Помидоры черри,Овощи,22,103.95,выходной,34
Конфеты шоколадные,Кондитерские изделия,48,49.23,выходной,36
Лосось стейк,Рыба и морепродукты,1,464.69,выходной,30
Сахар песок,Бакалея,21,165.97,выходной,30
Пиво светлое,Алкоголь,11,1145.12,выходной,18
Печенье овсяное,Кондитерские изделия,12,128.08,выходной,38
Колбаса докторская,Мясные изделия,12,459.25,будни,12
Конфеты шоколадные,Кондитерские изделия,15,293.26,будни,5
Сметана 15%,Молочные продукты,99,298.07,выходной,20
Говядина вырезка,Мясо,41,657.23,будни,7
Сок апельсиновый,Напитки,10,235.65,будни,11
"Кефир 3,2%",Молочные продукты,50,79.81,выходной,16
Чай черный,Напитки,49,234.16,будни,7
Печенье овсяное,Кондитерские изделия,16,238.44,будни,16
Гречка ядрица,Крупы,26,318.13,будни,16
Рис Басмати,Крупы,19,74.7,выходной,28
Лавровый лист,Специи,7,297.13,выходной,30
Рис Басмати,Крупы,49,273.78,будни,9
Шоколад молочный,Кондитерские изделия,36,228.81,будни,16
Говядина вырезка,Мясо,14,366.71,выходной,32
Морковь столовая,Овощи,96,74.5,будни,9
Пиво светлое,Алкоголь,33,1340.27,будни,3
Зефир ванильный,Кондитерские изделия,15,71.22,выходной,26
Печенье овсяное,Кондитерские изделия,44,376.3,выходной,16
Вода минеральная,Напитки,44,43.67,будни,17
Мармелад фруктовый,Кондитерские изделия,46,144.82,будни,5
Гречка ядрица,Крупы,27,312.98,выходной,12
Сахар песок,Бакалея,47,74.0,выходной,4
Лавровый лист,Специи,38,498.88,будни,14
Лавровый лист,Специи,10,31.83,выходной,8
Соль йодированная,Бакалея,32,421.46,праздник,9
Сухарики ржаные,Снеки,1,51.33,выходной,18
Морковь столовая,Овощи,74,127.13,будни,22
Перец черный молотый,Специи,38,388.58,выходной,24
Бананы,Фрукты,76,81.9,будни,9
Джем клубничный,Сладости,9,46.45,будни,18
Шоколад молочный,Кондитерские изделия,30,327.72,будни,13
Апельсины,Фрукты,58,100.73,выходной,28
Йогурт греческий,Молочные продукты,83,337.67,выходной,20
Апельсины,Фрукты,99,157.3,будни,3
Яйца куриные (10 шт),Яйца,4,80.12,выходной,14
"Молоко 2,5%",Молочные продукты,25,306.89,выходной,36
Сок апельсиновый,Напитки,12,235.54,будни,16
Апельсины,Фрукты,75,150.61,выходной,34
Шоколад молочный,Кондитерские изделия,45,470.08,будни,6
Кофе молотый,Напитки,6,112.4,будни,12
Апельсины,Фрукты,73,158.11,будни,19
Сухарики ржаные,Снеки,30,323.3,будни,3
Курица охлажденная,Мясо,14,641.89,выходной,6
Картофель молодой,Овощи,45,78.23,будни,22
Рис Басмати,Крупы,6,302.14,выходной,22
Картофель молодой,Овощи,37,66.42,будни,10
Кофе молотый,Напитки,8,156.35,праздник,57
Лосось стейк,Рыба и морепродукты,25,520.37,будни,5
Перец черный молотый,Специи,27,363.5,выходной,26
Мармелад фруктовый,Кондитерские изделия,6,350.92,будни,5
Сухарики ржаные,Снеки,1,344.57,выходной,6
"Молоко 2,5%",Молочные продукты,96,321.61,будни,19
Йогурт греческий,Молочные продукты,15,297.8,выходной,34
Сыр Российский,Молочные продукты,67,357.57,выходной,6
Колбаса докторская,Мясные изделия,21,378.81,выходной,30
Кетчуп томатный,Соусы,19,327.41,будни,17
"Молоко 2,5%",Молочные продукты,12,361.87,будни,13
Рис Басмати,Крупы,43,43.08,будни,14
Макароны спагетти,Макаронные изделия,9,384.31,будни,16
Картофель молодой,Овощи,25,163.06,будни,29
Огурцы грунтовые,Овощи,25,136.09,будни,15
"Молоко 2,5%",Молочные продукты,88,256.84,выходной,34
Сметана 15%,Молочные продукты,22,492.36,будни,5
Печенье овсяное,Кондитерские изделия,40,190.18,будни,15
Печенье овсяное,Кондитерские изделия,2,144.3,выходной,36
Кофе молотый,Напитки,36,474.7,будни,16
Масло сливочное,Молочные продукты,41,484.8,будни,14
Вино красное,Алкоголь,31,1079.87,будни,1
Пиво светлое,Алкоголь,47,1263.8,будни,6
Мука пшеничная,Бакалея,15,223.01,выходной,22
Рис Басмати,Крупы,23,328.85,будни,11
Вино красное,Алкоголь,35,312.82,будни,9
Морковь столовая,Овощи,59,68.69,будни,20
Сыр Российский,Молочные продукты,30,124.79,будни,3
Хлеб бородинский,Хлебобулочные изделия,38,69.33,будни,17
Лук репчатый,Овощи,89,126.58,будни,26
Сок апельсиновый,Напитки,13,184.04,будни,14
Кетчуп томатный,Соусы,45,244.17,выходной,4
Печенье овсяное,Кондитерские изделия,46,445.78,будни,9
Зефир ванильный,Кондитерские изделия,18,431.41,выходной,16
Творог 5%,Молочные продукты,21,254.83,будни,11
Колбаса докторская,Мясные изделия,34,295.25,будни,7
Лимонад,Напитки,9,471.44,праздник,6
Мармелад фруктовый,Кондитерские изделия,8,319.57,будни,4
Морковь столовая,Овощи,18,90.71,будни,27
Помидоры черри,Овощи,34,88.57,выходной,36
Лавровый лист,Специи,14,200.15,выходной,26
Майонез оливковый,Соусы,43,451.11,выходной,26
Йогурт греческий,Молочные продукты,71,103.5,будни,13
Мармелад фруктовый,Кондитерские изделия,17,458.05,будни,5
Кетчуп томатный,Соусы,24,406.64,будни,12
Помидоры черри,Овощи,61,187.37,будни,10
Джем клубничный,Сладости,4,85.16,праздник,42
Курица охлажденная,Мясо,41,381.86,будни,8
Вода минеральная,Напитки,49,150.42,выходной,16
Вода минеральная,Напитки,8,184.27,праздник,21
Сухарики ржаные,Снеки,3,219.76,будни,17
Джем клубничный,Сладости,34,414.01,будни,11
Зефир ванильный,Кондитерские изделия,43,77.78,будни,10
Сыр Российский,Молочные продукты,91,166.83,будни,13
Мармелад фруктовый,Кондитерские изделия,43,313.35,праздник,30
Мука пшеничная,Бакалея,33,325.91,будни,14
"Кефир 3,2%",Молочные продукты,64,163.94,будни,9
Макароны спагетти,Макаронные изделия,5,402.27,будни,7
Мармелад фруктовый,Кондитерские изделия,11,217.25,выходной,14
Печенье овсяное,Кондитерские изделия,33,220.34,будни,18
Конфеты шоколадные,Кондитерские изделия,45,328.99,будни,16
Вода минеральная,Напитки,49,185.73,будни,8
Вода минеральная,Напитки,7,443.35,праздник,48
Бананы,Фрукты,34,149.65,будни,19
Яйца куриные (10 шт),Яйца,18,24.14,будни,15
Сахар песок,Бакалея,26,238.59,будни,15
Мармелад фруктовый,Кондитерские изделия,28,222.89,выходной,12
Яблоки Гренни,Фрукты,92,90.38,праздник,27
Масло сливочное,Молочные продукты,35,105.38,будни,15
Мармелад фруктовый,Кондитерские изделия,27,53.27,будни,7
Сметана 15%,Молочные продукты,31,374.69,будни,8
Мёд цветочный,Сладости,22,45.4,выходной,36
Вода минеральная,Напитки,25,192.2,праздник,48
Сахар песок,Бакалея,47,253.23,будни,15
Майонез оливковый,Соусы,5,404.39,будни,3
Макароны спагетти,Макаронные изделия,17,301.39,будни,1
Говядина вырезка,Мясо,16,531.97,будни,13
"Кефир 3,2%",Молочные продукты,87,181.0,праздник,36
Печенье овсяное,Кондитерские изделия,11,323.14,будни,9
Гречка ядрица,Крупы,47,200.39,будни,2
Лосось стейк,Рыба и морепродукты,20,523.44,выходной,18
Курица охлажденная,Мясо,14,534.15,выходной,16
Чай черный,Напитки,33,80.11,будни,5
Мармелад фруктовый,Кондитерские изделия,5,192.2,выходной,26
Яблоки Гренни,Фрукты,76,114.48,будни,2
Колбаса докторская,Мясные изделия,4,482.95,будни,10
Творог 5%,Молочные продукты,78,486.97,будни,6
Лавровый лист,Специи,17,68.22,будни,7
Энергетик,Напитки,44,215.31,будни,3
Рис Басмати,Крупы,35,498.08,выходной,28
Лавровый лист,Специи,34,324.93,будни,16
Сок апельсиновый,Напитки,41,464.03,будни,6
Майонез оливковый,Соусы,31,183.95,будни,8
Гречка ядрица,Крупы,1,346.52,выходной,2
Сахар песок,Бакалея,28,96.64,выходной,30
Мука пшеничная,Бакалея,47,41.53,выходной,34
Сахар песок,Бакалея,17,196.99,выходной,36
"Молоко 2,5%",Молочные продукты,30,425.21,будни,3
Джем клубничный,Сладости,35,58.72,выходной,12
Конфеты шоколадные,Кондитерские изделия,2,416.26,выходной,34
Сухарики ржаные,Снеки,21,484.74,будни,13
Апельсины,Фрукты,20,77.43,будни,17
Сыр Российский,Молочные продукты,97,483.17,будни,16
Сухарики ржаные,Снеки,36,491.77,будни,17
Свинина отбивная,Мясо,22,428.89,выходной,2
Соль йодированная,Бакалея,34,43.77,будни,16
Сметана 15%,Молочные продукты,61,280.17,будни,6
Шоколад молочный,Кондитерские изделия,19,348.53,будни,8
Лимонад,Напитки,25,252.94,будни,1
Кофе молотый,Напитки,0,102.75,выходной,4
Колбаса докторская,Мясные изделия,47,95.46,праздник,45
Колбаса докторская,Мясные изделия,29,54.99,выходной,10
Лосось стейк,Рыба и морепродукты,46,359.72,выходной,30
Бананы,Фрукты,40,80.98,выходной,20
Кофе молотый,Напитки,7,270.02,выходной,10
Картофель молодой,Овощи,85,94.53,будни,7
Мука пшеничная,Бакалея,45,460.42,выходной,12
Кетчуп томатный,Соусы,46,234.8,будни,15
Гречка ядрица,Крупы,49,319.11,будни,18
Огурцы грунтовые,Овощи,45,64.5,будни,18
Картофель молодой,Овощи,50,164.47,выходной,28
Морковь столовая,Овощи,16,112.68,будни,8
Картофель молодой,Овощи,99,155.05,выходной,30
Помидоры черри,Овощи,88,125.92,выходной,48
Лук репчатый,Овощи,32,127.03,праздник,33
Помидоры черри,Овощи,29,137.66,выходной,38
Лосось стейк,Рыба и морепродукты,17,545.16,выходной,18
Печенье овсяное,Кондитерские изделия,39,213.69,будни,15
Лук репчатый,Овощи,28,85.75,выходной,32
Энергетик,Напитки,33,180.34,будни,18
Говядина вырезка,Мясо,23,774.64,будни,6
Сахар песок,Бакалея,29,167.4,будни,18
Картофель молодой,Овощи,25,132.76,будни,29
Майонез оливковый,Соусы,20,483.45,будни,18
Лук репчатый,Овощи,41,86.52,будни,26
Бананы,Фрукты,34,80.9,выходной,12
Шоколад молочный,Кондитерские изделия,2,254.85,будни,15
"Молоко 2,5%",Молочные продукты,79,460.2,будни,19
Чипсы картофельные,Снеки,25,412.78,выходной,10
Масло сливочное,Молочные продукты,55,414.04,будни,4
Сок апельсиновый,Напитки,28,80.79,будни,17
Конфеты шоколадные,Кондитерские изделия,35,59.33,будни,10
Чипсы картофельные,Снеки,26,200.6,выходной,24
Морковь столовая,Овощи,27,187.2,будни,9
Пиво светлое,Алкоголь,7,544.56,выходной,14
Яблоки Гренни,Фрукты,39,67.05,будни,12
Свинина отбивная,Мясо,30,732.65,выходной,4
Вода минеральная,Напитки,22,75.27,будни,17
Мёд цветочный,Сладости,36,116.34,выходной,26
Мёд цветочный,Сладости,25,170.47,выходной,10
Творог 5%,Молочные продукты,95,467.93,выходной,10
Сахар песок,Бакалея,10,246.23,праздник,36
Яйца куриные (10 шт),Яйца,28,76.64,выходной,24
Помидоры черри,Овощи,83,143.76,выходной,22
Джем клубничный,Сладости,11,103.23,выходной,12
Перец черный молотый,Специи,10,35.59,выходной,20
Мёд цветочный,Сладости,14,85.31,выходной,38
Джем клубничный,Сладости,31,139.51,будни,16
Творог 5%,Молочные продукты,87,236.03,будни,2
Пиво светлое,Алкоголь,36,1044.41,будни,4
Яйца куриные (10 шт),Яйца,48,46.16,выходной,18
Чай черный,Напитки,5,272.96,будни,5
Вино красное,Алкоголь,11,457.0,будни,1
Гречка ядрица,Крупы,28,120.86,будни,11
Перец черный молотый,Специи,13,30.55,выходной,38
Сухарики ржаные,Снеки,5,162.66,будни,3
Морковь столовая,Овощи,97,154.61,выходной,10
Чай черный,Напитки,39,469.99,выходной,8
Макароны спагетти,Макаронные изделия,0,461.9,будни,9
Мёд цветочный,Сладости,27,313.24,будни,16
Апельсины,Фрукты,43,128.26,будни,7
Лавровый лист,Специи,41,144.11,будни,5
Морковь столовая,Овощи,33,152.27,выходной,34
Яйца куриные (10 шт),Яйца,3,188.34,выходной,22
Майонез оливковый,Соусы,33,93.64,будни,14
Хлеб бородинский,Хлебобулочные изделия,25,92.68,выходной,34
Конфеты шоколадные,Кондитерские изделия,27,408.5,будни,12
Помидоры черри,Овощи,62,68.21,праздник,75
Морковь столовая,Овощи,34,136.78,выходной,54
Йогурт греческий,Молочные продукты,29,96.4,будни,19
Конфеты шоколадные,Кондитерские изделия,2,207.53,выходной,10
Масло сливочное,Молочные продукты,43,281.18,выходной,16
Кетчуп томатный,Соусы,17,101.22,будни,2
Мука пшеничная,Бакалея,13,61.35,будни,17
Огурцы грунтовые,Овощи,89,99.16,будни,6
Творог 5%,Молочные продукты,28,317.4,выходной,6
Хлеб бородинский,Хлебобулочные изделия,13,123.42,будни,18
Вода минеральная,Напитки,21,95.17,праздник,45
Свинина отбивная,Мясо,47,550.44,праздник,15
Мёд цветочный,Сладости,39,451.77,выходной,34
Сыр Российский,Молочные продукты,82,338.92,будни,14
Говядина вырезка,Мясо,33,780.81,выходной,2
Кофе молотый,Напитки,46,427.75,будни,14
Чипсы картофельные,Снеки,18,264.26,будни,9
Кофе молотый,Напитки,39,87.98,будни,5
Яйца куриные (10 шт),Яйца,41,237.06,будни,4
